datetime,temp,humidity,precip,solar_radiation,sugar_content,total_acidity,malic_acid
2023-07-02,21.4,27.9,0.006,220.1,142.0,9.1,7.95
2023-07-09,22.9,38.6,0.002,194.7,152.5,8.65,7.4
2023-07-16,23.0,50.6,0.564,183.8,165.8,8.05,6.75
2023-07-23,24.1,38.1,0.011,205.8,176.5,7.55,6.1
2023-07-30,21.2,44.6,0.498,176.2,184.2,7.15,5.55
2023-08-06,23.3,34.2,0.0,188.3,192.8,6.75,5.05
2023-08-13,23.1,44.0,0.006,152.4,199.5,6.45,4.65
2023-08-20,23.4,37.2,0.0,137.8,204.2,6.28,4.4
2023-08-27,19.0,56.3,0.755,116.6,202.8,6.35,4.48
2023-09-03,19.0,60.2,0.237,92.8,205.5,6.32,4.45
2023-09-10,18.5,47.7,0.005,136.5,207.2,6.25,4.35
2023-09-17,18.6,46.6,0.016,121.5,206.8,6.3,4.42
2023-09-24,13.6,58.9,0.368,80.9,205.5,6.38,4.5
2023-10-01,11.4,76.3,1.818,67.3,203.2,6.52,4.65
2023-10-08,13.0,71.6,0.119,83.0,201.8,6.65,4.82
2023-10-15,11.4,77.7,0.33,57.3,199.5,6.8,5.05
2023-10-22,11.6,74.3,0.688,51.4,197.2,6.95,5.25
